1, que, cj, that
2, um, at, a/an
3, o, at, the
4, em, prp, in/on
5, por, prp, by/for
6, de, prp, of/from
7, ser, v, to be
8, a, prp, to
9, para, prp, for/to
10, e, cj, and
11, o, pn, it/him
12, com, prp, with
13, mas, cj, but
14, seu, aj, your/his/her
15, como, cj/av, as/like
16, ter, v, to have
17, se, pn, oneself
18, estar, v, to be
19, mais, aj/av, more
20, não, av, not
21, ir, v, to go
22, este, aj, this
23, fazer, v, to do/make
24, ou, cj, or
25, haver, v, to have (existential)
26, poder, v, to be able/can
27, ele, pn, he/it
28, outro, aj, other/another
29, muito, aj/av, much/very
30, esse, aj, that
31, já, av, already
32, quando, cj/av, when
33, também, av, also
34, eu, pn, I
35, ano, nm, year
36, dar, v, to give
37, mesmo, aj, same
38, todo, aj, all/every
39, ver, v, to see
40, dizer, v, to say
41, dois, num, two
42, isso, pn, this/it
43, ela, pn, she/it
44, vez, nf, time (instance)
45, entre, prp, between/among
46, ainda, av, still
47, até, prp, until
48, depois, av, after
49, grande, aj, large/great
50, algum, aj, some
51, tempo, nm, time
52, só, av, only/just
53, pessoa, nf, person
54, vir, v, to come
55, sem, prp, without
56, porque, cj, because
57, bem, av, well
58, novo, aj, new
59, querer, v, to want
60, dia, nm, day
61, aquele, aj, that
62, onde, av, where
63, meu, aj, my
64, primeiro, aj/av, first
65, saber, v, to know
66, dever, v, must/should
67, passar, v, to pass
68, assim, av, thus/like this
69, ficar, v, to stay/become
70, sobre, prp, on/about
71, deixar, v, to leave/let
72, sempre, av, always
73, nosso, aj, our
74, casa, nf, house
75, quem, pn, who
76, lhe, pn, him/her/it/to him/to her
77, trabalho, nm, work
78, homem, nm, man
79, tudo, pn, everything
80, vida, nf, life
81, bom, aj, good
82, pois, cj, since/for
83, agora, av, now
84, qual, aj, which
85, chegar, v, to arrive
86, levar, v, to take/lead
87, parte, nf, part
88, coisa, nf, thing
89, então, av, so/then
90, pouco, aj/av, little/few
91, cidade, nf, city
92, forma, nf, form/shape
93, encontrar, v, to find
94, cada, aj, each
95, falar, v, to speak
96, aqui, av, here
97, melhor, aj/av, better
98, nem, cj, nor
99, partir, v, to leave/depart
100, maior, aj, bigger/larger
101, estado, nm, state
102, governo, nm, government
103, chamar, v, to call
104, se, cj, if
105, três, num, three
106, tanto, aj/av, so much
107, começar, v, to begin
108, segundo, n/aj/prp, second/according to
109, qualquer, pn, any
110, lado, nm, side
111, hoje, n/av, today
112, menos, aj/av, less
113, conseguir, v, to achieve
114, mundo, nm, world
115, caso, nm, case
116, pensar, v, to think
117, meio, n/aj/av, middle/half
118, próprio, aj, own
119, país, nm, country
120, apenas, av, only/just
121, português, na, Portuguese
122, certo, aj/av, certain/sure
123, nada, pn, nothing
124, tal, aj/av, such
125, público, na, public
126, isto, pn, this
127, pequeno, aj, small
128, direito, na, right
129, último, aj, last
130, parecer, v, to seem
131, você, pn, you
132, durante, prp, during
133, quanto, aj/av, how much
134, lá, av, there
135, problema, nm, problem
136, existir, v, to exist
137, tornar, v, to become
138, entrar, v, to enter
139, terra, nf, land/earth
140, antes, av, before
141, aí, av, there
142, contra, prp, against
143, mulher, nf, woman
144, exemplo, nm, example
145, desde, prp, since
146, conhecer, v, to know/meet
147, filho, nm, son
148, nome, nm, name
149, viver, v, to live
150, água, nf, water
151, história, nf, history
152, quatro, num, four
153, ideia, nf, idea
154, trabalhar, v, to work
155, além, av, beyond
156, criar, v, to create
157, dentro, av, inside
158, nunca, av, never
159, alto, na, high
160, tão, av, so
161, livro, nm, book
162, escrever, v, to write
163, tipo, nm, type
164, apresentar, v, to present
165, sair, v, to leave
166, lugar, nm, place
167, ponto, nm, point
168, grupo, nm, group
169, achar, v, to find/think
170, mil, num, thousand
171, tomar, v, to take
172, acabar, v, to finish
173, força, nf, force
174, hora, nf, hour
175, quase, av, almost
176, acontecer, v, to happen
177, enquanto, av, while
178, facto, nm, fact
179, momento, nm, moment
180, único, aj, only/unique
181, fim, nm, end
182, continuar, v, to continue
183, nenhum, aj, none
184, pai, nm, father
185, mês, nm, month
186, política, nf, policy/politics
187, considerar, v, to consider
188, nós, pn, we/us
189, obra, nf, work (as in artwork or construction)
190, sentir, v, to feel
191, tratar, v, to treat
192, pôr, v, to put
193, relação, nf, relation
194, família, nf, family
195, vários, aj, various
196, presidente, nm, president
197, voltar, v, to return
198, receber, v, to receive
199, perder, v, to lose
200, usar, v, to use
201, valor, nm, value
202, longo, aj, long
203, número, nm, number
204, processo, nm, process
205, conta, nf, account
206, trazer, v, to bring
207, nacional, aj, national
208, palavra, nf, word
209, questão, nf, question
210, definir, v, to define
211, tentar, v, to try
212, procurar, v, to look for
213, precisar, v, to need
214, seguir, v, to follow
215, preciso, aj, precise
216, próximo, aj, next
217, movimento, nm, movement
218, junto, aj/av, together
219, espécie, nf, species
220, pedir, v, to ask
221, volta, nf, turn
222, pagar, v, to pay
223, região, nf, region
224, aquilo, pn, that
225, esperar, v, to wait
226, humano, na, human
227, baixo, aj/av, low
228, professor, nm, teacher
229, noite, nf, night
230, mão, nf, hand
231, branco, aj, white
232, possível, aj, possible
233, aparecer, v, to appear
234, contar, v, to count/tell
235, campo, nm, field
236, condição, nf, condition
237, servir, v, to serve
238, música, nf, music
239, permitir, v, to allow
240, real, na, real
241, criança, nf, child
242, através, av, through
243, brasileiro, na, Brazilian
244, jornal, nm, newspaper
245, sociedade, nf, society
246, modo, nm, mode
247, rio, nm, river
248, acreditar, v, to believe
249, senhor, nm, sir
250, colocar, v, to place
251, entender, v, to understand
252, tarde, n/av, late
253, velho, aj, old
254, verdade, nf, truth
255, morrer, v, to die
256, diferente, aj, different
257, frente, nf, front
258, cinco, num, five
259, embora, cj, although
260, abrir, v, to open
261, social, aj, social
262, guerra, nf, war
263, causa, nf, cause
264, arte, nf, art
265, sim, av, yes
266, povo, nm, people
267, projecto, nm, project
268, sentido, nm, sense
269, gente, nf, people
270, manter, v, to maintain
271, forte, na, strong
272, século, nm, century
273, lei, nf, law
274, fundo, nm, bottom
275, geral, aj, general
276, altura, nf, height
277, escola, nf, school
278, papel, nm, paper
279, cabeça, nf, head
280, razão, nf, reason
281, importante, aj, important
282, cair, v, to fall
283, maneira, nf, way
284, antigo, aj, ancient
285, serviço, nm, service
286, final, na, final
287, ler, v, to read
288, corpo, nm, body
289, imagem, nf, image
290, ali, av, there
291, ganhar, v, to win
292, apesar, av, despite
293, acção, nf, action
294, mãe, nf, mother
295, claro, aj, clear
296, mostrar, v, to show
297, logo, av, soon
298, situação, nf, situation
299, deus, nm, god
300, época, nf, era
301, mar, nm, sea
302, seguinte, aj, following
303, olhar, v, to look
304, ajudar, v, to help
305, acordo, nm, agreement
306, necessário, aj, necessary
307, bastante, av, quite
308, estudar, v, to study
309, lançar, v, to launch
310, necessidade, nf, necessity
311, norte, nm, north
312, andar, v, to walk
313, peça, nf, piece
314, jovem, na, young
315, natural, aj, natural
316, correr, v, to run
317, preço, nm, price
318, interesse, nm, interest
319, caminho, nm, path
320, perceber, v, to perceive
321, militar, na, military
322, empresa, nf, company
323, área, nf, area
324, realizar, v, to carry out
325, termo, nm, term
326, ligar, v, to call/connect
327, autor, nm, author
328, ministro, nm, minister
329, maioria, nf, majority
330, teatro, nm, theater
331, crescer, v, to grow
332, direcção, nf, direction
333, banco, nm, bank
334, ordem, nf, order
335, aumentar, v, to increase
336, santo, na, saint
337, formar, v, to form
338, cima, nf, top
339, pessoal, na, personal
340, representar, v, to represent
341, olho, nm, eye
342, função, nf, function
343, amigo, nm, friend
344, ouvir, v, to hear
345, luz, nf, light
346, vontade, nf, will
347, costa, nf, coast
348, defender, v, to defend
349, mercado, nm, market
350, nascer, v, to be born
351, semana, nf, week
352, morte, nf, death
353, descobrir, v, to discover
354, lembrar, v, to remember
355, assunto, nm, subject
356, curso, nm, course
357, mudar, v, to change
358, dinheiro, nm, money
359, decisão, nf, decision
360, plano, na, plan
361, animal, nm, animal
362, igreja, nf, church
363, respeito, nm, respect
364, jogo, nm, game
365, local, nm, place
366, passo, nm, step
367, rua, nf, street
368, portanto, cj, therefore
369, experiência, nf, experience
370, político, na, politician
371, falta, nf, lack
372, talvez, av, maybe
373, sistema, nm, system
374, qualidade, nf, quality
375, ocorrer, v, to occur
376, centro, nm, center
377, medida, nf, measure
378, negócio, nm, business
379, difícil, aj, difficult
380, seis, num, six
381, mal, av, badly
382, actividade, nf, activity
383, espaço, nm, space
384, linha, nf, line
385, câmara, nf, chamber
386, futuro, nm, future
387, pé, nm, foot
388, partido, nm, party
389, explicar, v, to explain
390, via, nf, way
391, tirar, v, to take/remove
392, posição, nf, position
393, contrário, na, opposite
394, princípio, nm, principle
395, principal, aj, main
396, realidade, nf, reality
397, surgir, v, to arise
398, resolver, v, to solve
399, aceitar, v, to accept
400, dez, num, ten
401, médico, na, doctor
402, programa, nm, program
403, irmão, nm, brother
404, madeira, nf, wood
405, livre, aj, free
406, base, nf, base
407, acompanhar, v, to accompany
408, diverso, aj, diverse
409, fechar, v, to close
410, classe, nf, class
411, negro, na, black
412, cujo, aj, whose
413, mandar, v, to send
414, cerca, av, about
415, preso, na, prisoner
416, porta, nf, door
417, saúde, nf, health
418, recurso, nm, resource
419, sob, prp, under
420, decidir, v, to decide
421, sul, nm, south
422, resultado, nm, result
423, ar, nm, air
424, senhora, nf, lady
425, pedra, nf, stone
426, aberto, aj, open
427, estudo, nm, study
428, importância, nf, importance
429, director, nm, director
430, capaz, aj, capable
431, artista, nc, artist
432, levantar, v, to raise
433, referir, v, to refer
434, estrangeiro, na, foreign
435, dirigir, v, to drive
436, tu, pn, you
437, produzir, v, to produce
438, sobretudo, av, especially
439, televisão, nf, television
440, milhão, num, million
441, espírito, nm, spirit
442, especial, aj, special
443, república, nf, republic
444, cor, nf, color
445, escolher, v, to choose
446, pretender, v, to intend
447, ninguém, pn, no one
448, amor, nm, love
449, comprar, v, to buy
450, conhecimento, nm, knowledge
451, compreender, v, to understand
452, transformar, v, to transform
453, resposta, nf, answer
454, presente, na, present
455, filha, nf, daughter
456, efeito, nm, effect
457, pena, nf, pity
458, vender, v, to sell
459, construir, v, to build
460, superior, aj, superior
461, idade, nf, age
462, população, nf, population
463, responder, v, to answer
464, interior, na, interior
465, aspecto, nm, aspect
466, rede, nf, network
467, filme, nm, film
468, cultura, nf, culture
469, oito, num, eight
470, sete, num, seven
471, cinema, nm, cinema
472, sofrer, v, to suffer
473, gostar, v, to like
474, conselho, nm, council
475, unido, aj, united
476, informação, nf, information
477, entanto, av, however
478, carro, nm, car
479, natureza, nf, nature
480, tocar, v, to play/touch
481, matar, v, to kill
482, igual, aj, equal
483, terceiro, aj, third
484, simples, aj, simple
485, mau, aj, bad
486, viagem, nf, trip
487, conto, nm, tale
488, quadro, nm, frame
489, elemento, nm, element
490, capital, nmf, capital
491, valer, v, to be worth
492, período, nm, period
493, reconhecer, v, to recognize
494, após, prp, after
495, menor, aj, smaller/younger
496, possibilidade, nf, possibility
497, dificuldade, nf, difficulty
498, comum, aj, common
499, principalmente, av, mainly
500, figura, nf, figure
501, europeu, na, European
502, econômico, aj, economic
503, escritor, nm, writer
504, segurança, nf, security
505, venda, nf, sale
506, visão, nf, vision
507, crise, nf, crisis
508, sinal, nm, sign
509, prestar, v, to provide/offer
510, eleição, nf, election
511, parar, v, to stop
512, esquerda, nf, left
513, vila, nf, village
514, aprender, v, to learn
515, central, na, central
516, fase, nf, phase
517, marcar, v, to mark
518, passado, na, past
519, realmente, av, really
520, preparar, v, to prepare
521, cortar, v, to cut
522, demais, aj/av, too much
523, desejar, v, to wish
524, ciência, nf, science
525, crime, nm, crime
526, objetivo, nm, objective
527, curto, aj, short
528, prova, nf, proof/test
529, inteiro, aj, whole
530, repetir, v, to repeat
531, carreira, nf, career
532, justiça, nf, justice
533, metro, nm, meter/subway
534, cento, nm, hundred
535, atenção, nf, attention
536, material, nm, material
537, letra, nf, letter/lyrics
538, presença, nf, presence
539, construção, nf, construction
540, emprego, nm, job
541, imaginar, v, to imagine
542, assistir, v, to watch/attend
543, verde, aj, green
544, produção, nf, production
545, dúvida, nf, doubt
546, depender, v, to depend
547, atual, aj, current
548, modelo, nm, model
549, influência, nf, influence
550, prática, nf, practice
551, entregar, v, to deliver
552, encontro, nm, meeting
553, preocupação, nf, concern
554, julgar, v, to judge
555, atingir, v, to reach
556, carta, nf, letter
557, popular, aj, popular
558, graça, nf, grace
559, perto, av, near
560, banda, nf, band
561, massa, nf, mass
562, criação, nf, creation
563, crítica, nf, critique
564, título, nm, title
565, favor, nm, favor
566, algo, pn, something
567, expressão, nf, expression
568, dividir, v, to divide
569, polícia, nmf, police
570, largo, aj, wide
571, apoio, nm, support
572, formação, nf, training/formation
573, envolver, v, to involve
574, discutir, v, to discuss
575, esforço, nm, effort
576, americano, na, American
577, cabo, nm, cape
578, doença, nf, disease
579, regra, nf, rule
580, particular, aj, particular/specific
581, deputado, nm, deputy
582, morar, v, to live
583, funcionar, v, to function/work
584, educação, nf, education
585, moderno, aj, modern
586, gênero, nm, genre/gender
587, determinar, v, to determine
588, obrigar, v, to oblige/force
589, início, nm, beginning
590, zona, nf, zone
591, voz, nf, voice
592, objeto, nm, object
593, assumir, v, to assume
594, personagem, nc, character
595, estilo, nm, style
596, rei, nm, king
597, cena, nf, scene
598, subir, v, to go up/climb
599, preferir, v, to prefer
600, sucesso, nm, success
601, motivo, nm, reason
602, comércio, nm, trade
603, supor, v, to suppose
604, fugir, v, to flee
605, conjunto, nm, set
606, profissional, na, professional
607, som, nm, sound
608, mudança, nf, change
609, energia, nf, energy
610, nível, nm, level
611, jogar, v, to play
612, morto, na, dead
613, guarda, nf, guard
614, trabalhador, nm, worker
615, acima, av, above
616, buscar, v, to search
617, ora, cj/av, now/then
618, memória, nf, memory
619, completamente, av, completely
620, provocar, v, to provoke
621, estabelecer, v, to establish
622, língua, nf, tongue/language
623, sangue, nm, blood
624, participar, v, to participate
625, anterior, aj, previous
626, comer, v, to eat
627, comissão, nf, commission
628, companhia, nf, company
629, quarto, na, room
630, francês, na, French
631, doutor, nm, doctor
632, terminar, v, to finish
633, consciência, nf, consciousness
634, alguém, pn, someone
635, luta, nf, fight
636, verificar, v, to verify
637, porém, cj, however
638, revelar, v, to reveal
639, ocupar, v, to occupy
640, máquina, nf, machine
641, atrás, av, behind
642, sol, nm, sun
643, rico, aj, rich
644, literatura, nf, literature
645, interessar, v, to interest
646, face, nf, face
647, ambiente, nm, environment
648, medo, nm, fear
649, vinte, num, twenty
650, risco, nm, risk
651, terreno, nm, land
652, vivo, aj, alive
653, somente, av, only
654, contacto, nm, contact
655, apoiar, v, to support
656, exigir, v, to require
657, conforme, av, as
658, fonte, nf, source/font
659, opinião, nf, opinion
660, pobre, aj, poor
661, rádio, nmf, radio
662, belo, aj, beautiful
663, reunir, v, to gather
664, liberdade, nf, freedom
665, produto, nm, product
666, revista, nf, magazine
667, publicar, v, to publish
668, rápido, aj, fast
669, oficial, na, official
670, diferença, nf, difference
671, afirmar, v, to assert
672, oferecer, v, to offer
673, verdadeiro, aj, true
674, cumprir, v, to fulfill
675, erro, nm, error
676, garantir, v, to guarantee
677, constituir, v, to constitute
678, solução, nf, solution
679, administração, nf, administration
680, mínimo, na, minimum
681, matéria, nf, matter
682, árvore, nf, tree
683, peixe, nm, fish
684, geração, nf, generation
685, aproveitar, v, to take advantage of
686, casar, v, to marry
687, estrada, nf, road
688, significar, v, to mean
689, evitar, v, to avoid
690, bater, v, to beat
691, série, nf, series
692, inglês, na, English
693, obter, v, to obtain
694, fácil, aj, easy
695, diante, av, in front of
696, desenvolver, v, to develop
697, exatamente, av, exactly
698, pertencer, v, to belong
699, resto, nm, rest
700, enorme, aj, enormous
701, suficiente, aj, sufficient
702, possuir, v, to possess
703, familiar, na, familiar
704, texto, nm, text
705, estrutura, nf, structure
706, inclusive, av, including
707, funcionário, nm, employee
708, longe, av, far
709, retirar, v, to withdraw
710, aproximar, v, to approach
711, indicar, v, to indicate
712, entrada, nf, entrance
713, iniciar, v, to initiate
714, discurso, nm, speech
715, saída, nf, exit
716, tarefa, nf, task
717, atitude, nf, attitude
718, ministério, nm, ministry
719, perspectiva, nf, perspective
720, abandonar, v, to abandon
721, observar, v, to observe
722, procura, nf, search
723, impor, v, to impose
724, defesa, nf, defense
725, uso, nm, use
726, artigo, nm, article
727, cara, nf, face
728, peso, nm, weight
729, oportunidade, nf, opportunity
730, data, nf, date
731, universidade, nf, university
732, união, nf, union
733, sala, nf, room
734, automóvel, nm, automobile
735, linguagem, nf, language
736, fogo, nm, fire
737, origem, nf, origin
738, tema, nm, theme
739, interno, aj, internal
740, impedir, v, to prevent
741, reunião, nf, meeting
742, arma, nf, weapon
743, aliás, av, in fact
744, apontar, v, to point out
745, festa, nf, party
746, trinta, num, thirty
747, pesar, v, to weigh
748, exposição, nf, exhibition
749, técnico, na, technical
750, pensamento, nm, thought
751, civil, aj, civil
752, nove, num, nine
753, aplicar, v, to apply
754, disco, nm, disc
755, reduzir, v, to reduce
756, atender, v, to attend
757, autoridade, nf, authority
758, preocupar, v, to worry
759, sério, aj, serious
760, carne, nf, meat
761, total, na, total
762, comunicação, nf, communication
763, religioso, na, religious
764, verão, nm, summer
765, costumar, v, to usually do
766, faltar, v, to lack
767, completar, v, to complete
768, índio, nm, Indian
769, interessante, aj, interesting
770, romance, nm, novel
771, especializar, v, to specialize
772, admitir, v, to admit
773, menino, nm, boy
774, escolha, nf, choice
775, perna, nf, leg
776, físico, na, physical
777, ilha, nf, island
778, pintura, nf, painting
779, armado, aj, armed
780, tamanho, nm, size
781, causar, v, to cause
782, reforma, nf, reform
783, ferro, nm, iron
784, responsável, na, responsible
785, boca, nf, mouth
786, governador, nm, governor
787, literário, aj, literary
788, sujeito, nm, subject
789, certeza, nf, certainty
790, campanha, nf, campaign
791, vitória, nf, victory
792, profundo, aj, deep
793, esquecer, v, to forget
794, anunciar, v, to announce
795, intenção, nf, intention
796, tendência, nf, trend
797, exército, nm, army
798, passagem, nf, passage
799, clube, nm, club
800, viajar, v, to travel
801, fixar, v, to fix
802, hipótese, nf, hypothesis
803, margem, nf, margin
804, avançar, v, to advance
805, conduzir, v, to drive
806, cheio, aj, full
807, discussão, nf, discussion
808, poeta, nm, poet
809, vale, nm, valley
810, coração, nm, heart
811, compor, v, to compose
812, organização, nf, organization
813, cargo, nm, position
814, vento, nm, wind
815, monte, nm, hill
816, ideal, na, ideal
817, marido, nm, husband
818, sector, nm, sector
819, caixa, nf, box
820, pegar, v, to grab
821, adquirir, v, to acquire
822, paz, nf, peace
823, limite, nm, limit
824, roda, nf, wheel
825, juntar, v, to join
826, planta, nf, plant
827, caber, v, to fit
828, mesa, nf, table
829, corrente, na, current
830, cantar, v, to sing
831, melhorar, v, to improve
832, torno, nm (em t.), lathe
833, vencer, v, to win
834, afastar, v, to move away
835, concluir, v, to conclude
836, parede, nf, wall
837, responsabilidade, nf, responsibility
838, preto, aj, black
839, revolução, nf, revolution
840, oposição, nf, opposition
841, incluir, v, to include
842, cavalo, nm, horse
843, operação, nf, operation
844, existência, nf, existence
845, substituir, v, to replace
846, proposta, nf, proposal
847, metade, nf, half
848, indústria, nf, industry
849, nota, nf, note
850, cobrir, v, to cover
851, comercial, aj, commercial
852, indivíduo, nm, individual
853, concordar, v, to agree
854, violência, nf, violence
855, ambos, aj, both
856, consequência, nf, consequence
857, grave, aj, serious
858, pergunta, nf, question
859, manhã, nf, morning
860, normal, na, normal
861, impressão, nf, impression
862, histórico, aj, historic
863, advogado, nm, lawyer
864, candidato, nm, candidate
865, espectáculo, nm, show
866, entretanto, av, meanwhile
867, prever, v, to foresee
868, propor, v, to propose
869, leitura, nf, reading
870, resultar, v, to result
871, vermelho, aj, red
872, custo, nm, cost
873, notar, v, to notice
874, ramo, nm, branch
875, pronto, aj, ready
876, minuto, nm, minute
877, aluno, nm, student
878, importar, v, to matter/import
879, capacidade, nf, capacity
880, refletir, v, to reflect
881, sentimento, nm, feeling
882, respeitar, v, to respect
883, hospital, nm, hospital
884, absoluto, aj, absolute
885, dispor, v, to have available
886, cuidar, v, to take care
887, direto, aj, direct
888, lutar, v, to fight
889, dado, na, given/data
890, ponte, nf, bridge
891, aula, nf, class
892, instrumento, nm, instrument
893, economia, nf, economy
894, leite, nm, milk
895, dedicar, v, to dedicate
896, máximo, na, maximum
897, moeda, nf, currency
898, chefe, nm, chief
899, frio, na, cold
900, doente, na, sick
901, ativo, aj, active
902, carga, nf, load
903, fronteira, nf, border
904, par, nm, pair
905, identificar, v, to identify
906, bastar, v, to be enough
907, alterar, v, to alter
908, atualmente, av, currently
909, vantagem, nf, advantage
910, diminuir, v, to decrease
911, municipal, aj, municipal
912, dor, nf, pain
913, chuva, nf, rain
914, ataque, nm, attack
915, frase, nf, phrase
916, intervenção, nf, intervention
917, descer, v, to go down
918, ator, nm, actor
919, proteger, v, to protect
920, estação, nf, station/season
921, gerar, v, to generate
